店名,住所,電話番号,予約・お問い合わせ
団欒 かとう,福島県福島市置賜町5-32 1F,024-573-4410,050-5456-5838
寧々家 福島駅前店,福島県福島市置賜町5-34 ,-,024-526-4020
くいもの屋わん 福島店,福島県福島市栄町7-25 栄町斎藤胃腸科ビルB1,024-526-4466,050-5595-0402
うま鶏家　厳選馬肉と鶏料理×日本酒,福島県福島市栄町7-32 我妻ビル 6F,024-572-3351,050-5456-2818
Triple Cheese 福島本店（トリプルチーズ【旧店名】豚バル Porky 福島駅前店）,福島県福島市栄町11-25 AXCビルB1-A,024-563-4875,050-5571-1748
生パスタのお店 レガーロ イオン福島店（REGALO）,福島県福島市南矢野目西荒田35 イオン福島店 1F,024-572-4530,050-5590-1813
赤から 福島笹谷店,福島県福島市笹谷字稲葉34-7 ,024-555-1381,050-5456-4663
月あかり 福島駅前店,福島県福島市栄町7-31 KYBビル 2F,024-572-6718,050-5593-5694
それゆけ!鶏ヤロー! 福島栄町店,福島県福島市栄町11-10 栄町ビル 2F,024-563-1331,050-5596-4744
伊達鶏とまぐろ イッショク 福島駅前店,福島県福島市栄町6-4 グリーンホテル福島館 3F,024-572-3131,050-5595-3640
炭焼き牛タンと土鍋の銀次 福島本店（【旧店名】個室居酒屋 極 KIWAMI）,福島県福島市栄町11-25 AXCビルB1-B,090-5070-8413,050-5571-2565
やきとりの扇屋 福島矢野目店,福島県福島市南矢野目字夜梨2-1 ,024-555-0545,050-5600-3163
炭火ノ串や。ニューハカタスタイル 福島駅前店,福島県福島市栄町6-5 南條ビルA B1F,024-573-5290,050-5456-3423
串カツ田中 福島駅東口店,福島県福島市栄町12-29 ,024-573-6492,050-5596-4666
鶏けん,福島県福島市栄町12-1 第1寿ビル1F,024-524-3665,050-5595-8422
花もも,福島県福島市飯坂町字西滝ノ町27番地 飯坂ホテル聚楽内,024-542-0087,050-5570-4566
や台ずし 福島駅東口町,福島県福島市栄町12-1 ,024-522-1328,050-5456-6470
