店名,住所,電話番号,予約・お問い合わせ
うどん酒場白龍（udonsakabahakuryu）,福島県郡山市大町1-4-16 第1増子ビル 1F 1104,-,050-8884-6712
居酒屋 咲くら 郡山駅前店,福島県郡山市駅前2-3-8 エリート39ビル 6F,080-5449-1192,050-5590-7817
Private個室ダイニングなごみ 郡山駅前店,福島県郡山市駅前2-3-8 エリ-ト39ビル 7F,070-7662-1192,050-5600-1844
手羽先と鶏皮串と釜飯 鶏出汁おでん食べ飲み放題 個室居酒屋 手羽ノトリコ 郡山店,福島県郡山市駅前2-3-8 エリート39ビル 5F,024-927-1772,050-5456-6064
エルマール,福島県郡山市八山田3丁目8-1 ,024-931-6275,050-5890-8246
大衆食堂 あまつ 郡山駅前店,福島県郡山市駅前2-1-13 エリート25ビル 1F,024-973-5201,050-5594-3987
全席個室 ウメ子の家 郡山駅前店,福島県郡山市駅前2-3-7 エリート30ビル B1F,-,050-2018-8944
壱献（いっこん）,福島県郡山市駅前1-3-7 陣屋グリーンビル4F,024-931-1117,050-5596-3762
全席個室 楽蔵 郡山駅前店（RAKUZO）,福島県郡山市駅前2-3-8 エリート39ビル 4F,-,050-2018-8943
郡山キッチン（KORIYAMA KITCHEN）,福島県郡山市駅前2-3-7 エリート30ビル B1F,-,050-2018-8945
四〇屋 郡山（シジュウヤ）,福島県郡山市中町10-13 MS中町ビル 101,024-953-4848,050-5593-6318
大衆馬肉酒場 三村 郡山店,福島県郡山市駅前1-106 山口駅前ビル 2F,024-983-4031,050-5592-9014
くいもの屋わん 郡山駅前アーケード店,福島県郡山市駅前2-2-7 エリート12ビル 2F,024-927-0122,050-5593-4471
浜焼き海鮮居酒屋 大庄水産 郡山店,福島県郡山市駅前1-106 山口駅前ビル 1F,0249-35-4351,050-5592-9015
九州自慢 郡山駅前通り店,福島県郡山市駅前2-3-12 越後屋ビル B1F,024-927-1570,050-5593-2818
よりあいダイニング 詩,福島県郡山市駅前2-7-16 アーケード増子ビル B1F,-,050-8892-7780
やきとりの扇屋 郡山大槻店,福島県郡山市御前南1-72 ,024-966-0085,050-5593-2926
やきとりの扇屋 郡山横塚店,福島県郡山市横塚2-6-2 ,024-928-5401,050-5593-2925
やきとりの扇屋 郡山八山田店,福島県郡山市八山田2-192-3 ,024-991-4884,050-5600-2832
比内や サスケ 郡山本店（ひないや さすけ）,福島県郡山市中町7-19 デジプラン中町ビル 別棟,024-935-8048,050-5595-8421
福笑ゐ,福島県郡山市駅前1-9-5 小林ビル 2F,024-900-2293,050-5456-0663
串カツ田中 郡山駅前店,福島県郡山市駅前2-1-14 ,024-953-7495,050-5596-4672
風虎（カゼトラ）,福島県郡山市駅前2-6-16 横山プラザ 2F,024-954-5959,050-5456-0662
牛角 郡山なかまち夢通り店（ギュウカク）,福島県郡山市中町11-2 ,024-990-2901,050-5596-0594
牛角 郡山安積店,福島県郡山市安積2-347 ,024-937-5653,050-5596-0601
あぶりや食堂,福島県郡山市大町1-2-15 ,024-931-2555,050-5594-4433
そもさん亭（そもさんてい）,福島県郡山市駅前1-5-3 湖月ビル　１Ｆ,024-938-6321,050-5596-7157
日本料理 一会,福島県郡山市八山田2-186 LUXE 1F,024-983-0310,050-5589-3857
いち井（いちい）,福島県郡山市駅前1-2-8 エピキュｂｌｄ　１Ｆ,024-927-7739,050-5570-0495
まぜそば 凜々亭 郡山本店,福島県郡山市駅前2-7-16 アーケード第ニ増子ビル 1F,024-991-6570,-
和楽cafe,福島県郡山市新屋敷2-111-2 福寿苑,090-4882-6787,050-5592-2237
NOODLE CAFE SAMURAI（ヌードルカフェ サムライ）,福島県郡山市駅前1-7-9 安斎ビル 1F,024-953-4447,-
和牛ホルモン 文吾商店,福島県郡山市開成6-47-1 ,024-973-7075,050-5872-9149
旬風満帆 初 八山田店（はじめ）,福島県郡山市富田町下双又15-15 ,024-954-3304,050-5872-8227
目利きの銀次 郡山駅東ショッピングセンター店,福島県郡山市向河原町4-68 ,024-956-1488,050-5600-0359
GRILL&PUB BRIO,福島県郡山市中町10-14 和久屋ビル 1F,024-953-5670,050-5594-0387
炭火焼肉レストラン フェ,福島県郡山市桑野3-14-3 ,024-939-8929,050-5570-5764
目利きの銀次 郡山駅前店,福島県郡山市駅前2-2-7 エリート12ビル 1F,024-927-1388,050-5600-6894
肉バカ親父 天神,福島県郡山市桑野2-7-1 ,024-953-4129,050-5594-4834
山内農場 郡山駅前店,福島県郡山市駅前2-3-12 越後屋プラザ 2F,024-922-1288,050-5869-3732
炭火焼肉 上杉 郡山店（ウエスギ）,福島県郡山市桑野1-5-19 ,024-933-8929,050-5593-6317
らん亭～ 美日庵（らんてい～びびあん）,福島県郡山市富田東5-101 ,-,024-934-9939
