店名,住所,電話番号,予約・お問い合わせ
POPS（Pops Steak＆Italian）,群馬県前橋市元総社町2691-6 ルアナ元総社テナント 1F,027-288-0400,050-5872-0416
ステーキのどん 新前橋店,群馬県前橋市元総社町51 ,027-255-4159,050-5589-9296
親方ホルモン（【旧店名】肉匠親方 前橋本店）,群馬県前橋市千代田町4-1-13 千代田ビル 2F,027-212-2994,050-5592-1427
七輪焼肉 安安 新前橋店,群馬県前橋市古市町180-1 ,027-212-8629,050-5600-3622
焼肉 千味庭  前橋五差路店,群馬県前橋市本町2-13-8 ゴサロビルディング 1F,027-212-2424,050-5456-3466
ステーキのどん 公田店,群馬県前橋市公田町682-1 ,027-265-5548,050-5589-9294
ラ・ピッツェリア（LA PIZZERIA）,群馬県前橋市石倉町5-17-3 ,027-289-2522,050-5600-1086
River Meat Market（【旧店名】29食系直球居酒屋River）,群馬県前橋市本町2-10-13 清野第２ビル 1F,027-224-0333,050-5596-3655
しゃぶしゃぶすき焼どん亭 前橋岩神店,群馬県前橋市岩神町4-3-3 ,-,050-1808-2785
ステーキのどん 荒牧店,群馬県前橋市荒牧町646-1 ,027-233-9323,050-5589-9286
浜焼き海鮮居酒屋 大庄水産 前橋店,群馬県前橋市千代田町5-1-4 アサカタクシービル 1F,027-233-6111,050-5595-7762
串家物語 イオンモール高崎店,群馬県高崎市棟高町1400 イオンモール高崎 1F,027-381-6612,050-5600-7156
アンドレカンドレ（Andore Kandore）,群馬県前橋市住吉町2-8-14 住吉ビル 1F,027-215-7080,050-5456-5386
炭火焼肉ホルモンしま田 千代田本店,群馬県前橋市千代田町4-15-2 ,027-888-6557,050-5596-2056
庄や 新前橋店,群馬県前橋市新前橋町25-1 うちでビル 1F,027-251-8161,050-5592-8699
炭火焼肉 らぷん,群馬県前橋市鳥羽町159-6 ,027-289-0011,050-5456-0682
BISTORO 欅（ビストロけやき）,群馬県前橋市本町2-11-8 ,070-1240-2118,050-5590-9376
菜香家・わ 南町店,群馬県前橋市南町3-35-3 セキスイハイムビル 1F,027-226-6822,050-5456-2232
月島もんじゃ・お好み焼き てっぱん 前橋店,群馬県前橋市千代田町2-7-20 2F,027-212-0870,050-5595-1335
スペイン料理レストラン エル･ヴィエント（el viento）,群馬県前橋市三河町1-3-12 ,027-220-5545,050-5595-8441
ザスパ×TANITA,群馬県前橋市富田町1674-8 ,070-4399-5379,050-5593-6335
カプリチョーザ けやきウォーク前橋店,群馬県前橋市文京町2-1-1 けやきウォーク前橋 1F,027-223-0046,050-5595-8440
