店名,住所,電話番号,予約・お問い合わせ
茨城まるごと 四〇屋（シジュウヤ）,茨城県水戸市宮町2-2-33 ジュントリーオーハシ,029-291-4125,050-5600-5365
赤から イオンタウン水戸南店,茨城県東茨城郡茨城町長岡3480 101,029-291-0077,050-5456-4665
茨城地産地消の店 あんこう鍋×常陸牛 全席個室 もんどころ 水戸サウスタワー店,茨城県水戸市宮町1-7-33 水戸サウスタワー１１F,029-224-6454,050-5595-2609
いろはにほへと 水戸駅南口店,茨城県水戸市桜川1-3-3 ,-,029-303-2335
旨唐揚げと居酒メシ ミライザカ 水戸OPA店,茨城県水戸市宮町1-7-33 水戸サウスタワー　10F,029-222-7750,050-5872-2414
はなの舞 水戸南口店（ハナノマイ）,茨城県水戸市宮町1-7-44 COMBOX310 1F,029-300-0010,050-5600-3459
宮崎県日南市 塚田農場 水戸駅北口店,茨城県水戸市宮町2-3-38  水戸シルバーイン B1F,029-300-2321,050-5600-2273
牛タン・馬肉酒場 うま囲 水戸OPA店,茨城県水戸市宮町1-7-33 水戸OPA,029-350-8864,050-5592-9445
四季彩 はなれ 水戸店,茨城県水戸市宮町1-7-33 水戸オーパ 11F,029-306-9701,050-5589-5536
ピザとハムと時々ワイン ボンジョルノ食堂 水戸北口店,茨城県水戸市宮町2-4-24 ,029-215-9095,050-5868-0347
串家物語 イオンモール水戸内原店,茨城県水戸市中原町字西135 イオンモール水戸内原 1F,029-259-1636,050-5600-7043
イルバンカーレ ホテル テラス ザ ガーデン 水戸（II Bancale）,茨城県水戸市宮町1-7 ホテルテラスザガーデン水戸 3F,029-300-2505,050-5590-0388
博多うまいもん酒場 九州九州 水戸駅店,茨城県水戸市宮町1-7-33 水戸サウスタワー 10F,029-284-1202,050-5600-4703
いきなり俺のジンギスカン 水戸店,茨城県水戸市南町1-4-11 ,029-303-6116,050-5595-6002
寧々家 水戸駅南口店 （ネネヤ）,茨城県水戸市桜川1-4-5 3F,-,029-222-0102
茨城名物の喰いもんや もんどころ 水戸市役所前店,茨城県水戸市城南1-3-2 ,029-232-3438,050-5595-7351
れんま 水戸OPA店,茨城県水戸市宮町1-7-33 水戸サウスタワー 11F,080-3715-5994,050-5589-5535
牛角 けやき台店,茨城県水戸市酒門町3281-6 ,029-309-2929,050-5594-6973
炭火やきとり オオギヤ 水戸元吉田店,茨城県水戸市元吉田町1324-1 ,029-304-6113,050-5593-2931
わらひ家,茨城県水戸市大工町1-6-16 アイケイビル 1Ｆ,029-231-0009,050-5456-3255
牛角 河和田店,茨城県水戸市河和田町3845-2 ,029-257-7729,050-5594-6978
居眠 白猫亭,茨城県水戸市天王町2-26 メゾン水戸 101,029-297-1217,050-5595-4123
しゃぶしゃぶ温野菜 水戸河和田店,茨城県水戸市河和田町3841-1 ,029-309-0831,050-5596-0712
食の蔵 こざわ,茨城県水戸市中央2-10-10 1F,029-306-9817,050-5456-3059
呑み喰い処　福わらひ 水戸駅南支店,茨城県水戸市中央1丁目3-11 ,029-233-6667,050-5589-8120
エイス シー オイスターバー 水戸京成店,茨城県水戸市泉町1-6-1 水戸京成百貨店 9F,-,050-3647-4905
寿司居酒屋 や台ずし 水戸中央郵便局前町,茨城県水戸市宮町2-11-27 ,029-233-2166,050-5456-4804
てんまさ,茨城県水戸市宮町2-2-31 三友ビル B1F,029-224-6460,050-5869-7537
梅み月（うめみづき）,茨城県水戸市見和1-311-7 ,-,029-309-6111
居酒屋 てんまさ 2F店（TENMASA）,茨城県水戸市宮町2-1-1 細谷ビル 2F,029-221-2531,050-5868-8330
回転すし まるくに 水戸見川店,茨城県水戸市見川2-78-1 ,-,-
美味 藤（ビミフジ）,茨城県水戸市栄町1-8-5 ,029-224-0573,050-5589-8193
奴寿司（やっこすし）,茨城県水戸市大工町1-4-10 ,029-221-3325,050-5869-2490
蕎麦処 みかわ,茨城県水戸市松本町17-75 ,029-233-1311,050-5869-2495
レストラン オオツ（Ohtsu）,茨城県水戸市白梅1-5-4 ,029-226-8502,050-5593-8297
酒趣 本店（しゅしゅ）,茨城県水戸市城南1-5-16 第二吉住ビル　１Ｆ,029-302-1103,050-5869-0509
日本料理 吉水（キッスイ）,茨城県水戸市宮町2-7-28 ,029-221-0257,050-5868-8334
