店名,住所,電話番号,予約・お問い合わせ
旨唐揚げと居酒メシ ミライザカ 小山東口店,栃木県小山市駅東通り1-6-7 第二青木ビル1～3F,0285-20-0621,050-5872-2423
炭旬 小山西口店,栃木県小山市城山町3-3-22 VAL 小山駅ビル 1F,0285-20-3881,050-5872-2764
七輪焼肉 安安 小山店,栃木県小山市本郷町2-7-7 ,0285-39-8329,050-5571-4799
宮崎県日南市 塚田農場 小山西口店,栃木県小山市城山町3-2-18 ホテルニューカシワビル 1F,0285-20-8060,050-5600-2403
マキバオー,栃木県小山市駅東通り2-11-18 2F,0285-39-6536,050-5589-3283
赤から 小山店,栃木県小山市城北6-1-3 ,0285-30-6361,050-5456-4674
しゃぶしゃぶすき焼どん亭 小山店（どんてい）,栃木県小山市駅南町2-28-11 ,-,050-1808-8938
串カツ田中 小山東口店,栃木県小山市駅東通り1-6-17 ,0285-38-8798,050-5456-3829
牛角 自治医大店,栃木県下野市緑1-9-8 ,0285-40-0329,050-5594-6870
備長扇屋 小山神鳥谷店 （びんちょうおうぎや）,栃木県小山市神鳥谷1-1-41 ,0285-20-0608,050-5600-2836
プロント 小山駅店（PRONTO）,栃木県小山市城山町3-3-22 VAL 小山駅ビル 3F,0285-20-5655,050-5594-4841
焼肉 芯々,栃木県小山市駅東通り2-32-13 T．hamビル 1F,0285-38-7929,050-5592-5120
おくりや+（おくりやプラス）,栃木県小山市神鳥谷2-32-3 ,0285-32-7070,050-5600-7630
海鮮 まんまてい,栃木県下野市医大前3-7-5 ,0285-37-6684,050-5597-6332
フラッフィーパンケーキ&カフェ 小山ロブレ,栃木県小山市中央町3-7-1 ロブレ2F TSUTAYA小山ロブレ,0285-37-9700,050-5595-9115
はなの舞 VAL小山駅ビル店,栃木県小山市城山町3-3-22 VAL 小山駅ビル 1F,0285-20-5755,050-5593-2742
カリー屋 POKHARA（ポカラ）,栃木県小山市西城南2-29-14 ,070-3528-6063,050-5596-5803
テゾーロ（tesoro）,栃木県下都賀郡野木町佐川野1360-16 ,-,0280-33-7042
居酒屋 はじめ（一）,栃木県小山市城山町3-6-31 ,0285-38-8701,050-5596-1306
目利きの銀次 小山西口駅前店,栃木県小山市中央町3-6-12 田中屋ビル 2F,0285-24-4988,050-5600-0361
よいち餃子大王 小山店,栃木県小山市中央町3-5-20 カーサロブレ 1F,0285-32-6251,050-5590-4147
笑笑 小山東口駅前店,栃木県小山市駅東通り1-4-7 柿木ビル　２Ｆ,0285-23-7988,050-5600-2939
Italian Kitchen VANSAN 小山店,栃木県小山市西城南2-30-1 ,0285-37-8183,050-5600-2339
魚民 小山西口駅前店,栃木県小山市中央町3-5-20 カーサ・ロブレ　２Ｆ,0285-21-3288,050-5600-2940
大衆居酒屋 ととや,栃木県小山市駅東通り1-12-10 ウインザマンション 1F,0285-37-6617,050-5593-8155
フェリチターレ・ルミーノ,栃木県小山市城東2-31-24 ,0285-39-6575,050-5456-1735
央や（ひさや）,栃木県小山市城東1-10-2 柳田アパート 102,090-9244-4929,050-5593-8156
亜細亜割烹 蓮月 小山店,栃木県小山市中央町3-1-11 美季ビル 2F,080-3566-2320,050-5593-8159
RSナンカレーハウス,栃木県小山市犬塚4-10-22 ,0285-42-5707,050-5456-6422
焼肉きんぐ 小山店,栃木県小山市東城南2-2-6 ,-,0285-38-7170
彩華,栃木県小山市天神町2-8-41 小山パレスホテル別館,-,0285-22-2633
藤ヱ門 道の駅思川店,栃木県小山市大字下国府塚25-1 ,-,-
ラーメン屋 縁（えにし）,栃木県小山市乙女876-1 ,-,0285-36-3062
みそら堂 小山店,栃木県小山市神鳥谷307-1 ,-,-
ベリーベリーマルシェ（いちごの里直売所）,栃木県小山市大川島408 ,-,-
ベッカライ タガミ（BACKEREI TAGAMI）,栃木県小山市天神町1-4-15 一徳ハイツpart3 1F,-,0285-39-8918
麺や本郷,栃木県小山市本郷町3-5 ,-,-
麺屋てつ,栃木県栃木市藤岡町藤岡1038-2 ,-,-
らーめん 麦わら,栃木県小山市若木町3-20-40 ,-,-
海蔵 小山東口店,栃木県小山市城東3-1-22 ,-,0285-37-8877
釜戸ごはん 春夏秋冬食堂 gen ten（ゲンテン）,栃木県下野市薬師寺3720-1 ,-,0285-37-7357
OLEA（オレア）,栃木県小山市大字粟宮684-1 ,-,0285-32-6730
らーめん・つけ麺 吉田商店 本店,栃木県小山市城東5-10-17 ,-,-
びっくりドンキー 小山店,栃木県小山市西城南2丁目3番4号 ,-,-
湯けむり満月（ゆけむりまんげつ）,栃木県小山市東城南5-26-5 小山やすらぎの湯,-,-
星乃珈琲店 小山店,栃木県小山市雨ヶ谷121-4 ,-,-
和膳処 くぼ多（ワゼンドコロクボタ）,栃木県小山市城東2-31-22 ,-,0285-24-5377
美家古家（みやこや）,栃木県下都賀郡野木町丸林371-11 ,-,-
にぎり屋 新門 小山店（ＳＨＩＭＯＮ）,栃木県小山市中央町3-6-9 1F,-,0285-38-9533
ビストロ　オチアイ,栃木県小山市駅東通り1-6-17 冨士ビル 1F,-,0285-38-6555
下野茶屋,栃木県栃木市藤岡町藤岡2138-3 ,-,0282-62-5636
扇子 THE chinois（センス ザ シノワ）,栃木県小山市若木町1-17-42 ,-,0285-22-3563
牛愛ラーメン,栃木県小山市駅東通り2-11-18 ,-,-
ウッディ カフェ（WOODY CAFE）,栃木県小山市城東2-11-32 ,-,0285-22-2333
ココス 小山店,栃木県小山市東城南1-3-10 ,-,0285-31-1084
手打ちうどんぐう手,栃木県小山市東間々田1-6-13 ,-,-
青磁 小山店（セイジ）,栃木県小山市東城南5-25-1 ,-,0285-28-3120
サクライ,栃木県小山市西城南2-9-19 ,-,0285-37-7787
レストラン ガリエラ（レストランガリエラ）,栃木県小山市中央町3-6-9 しまだやビル2F,-,0285-24-0999
ロッテリア VAL小山店（LOTTERIA）,栃木県小山市城山町3-3-22 VAL 小山駅ビル 1F,-,-
はま寿司 小山喜沢店,栃木県小山市喜沢1425-1 ,-,-
牛舎,栃木県栃木市藤岡町部屋1153 ,-,0282-67-3671
渡良瀬カントリークラブ レストラン,栃木県栃木市藤岡町藤岡2000 ,-,0282-62-1580
満平,栃木県小山市城北1-19-39 ,-,0285-25-5699
大衆酒場いごっそ,栃木県小山市中央町3-6-7 若山ビル,-,0285-39-8857
壱吉屋,栃木県小山市城北2-22-16 ,-,-
からあげいろは,栃木県下野市薬師寺3720-1 ,-,0285-38-6631
麺童豊香,栃木県小山市土塔228-36 ,-,-
思川食堂,栃木県小山市松沼486 ,-,0285-37-0022
本気家 源天 本店,栃木県下野市川中子3328-2 ,-,0285-44-9448
コメダ珈琲店 小山店,栃木県小山市西城南3-21-1 ,-,-
奏,栃木県小山市出井908-2 ,-,0285-24-6286
鰻 田島（うなぎ たじま）,栃木県下野市医大前3-12-3 ,-,0285-44-8568
道の駅 しもつけ,栃木県下野市薬師寺3720-1 ,-,-
二本松,栃木県小山市喜沢1232 ,-,0285-24-1129
コニファーズ,栃木県下野市祇園1-23-4 ,-,0285-40-5717
青竹手打ちラーメン 桂林 小山店,栃木県小山市城山町3-6-31 ,-,-
小川屋,栃木県小山市乙女2-25-16 ,-,-
レストランモア 自治医大店,栃木県下野市薬師寺3311-1 ,-,-
ばんどう太郎 小山中央店,栃木県小山市雨ケ谷新田71-5 ,-,0285-32-7371
寿し甚,栃木県小山市城東1-12-31 ,-,0285-23-7811
山田うどん 栃木藤岡店,栃木県栃木市藤岡町藤岡1953-3 ,-,0282-62-9634
麺屋　大和,栃木県小山市駅南町3-26-9 ,-,-
ラーメン屋 壱番亭 羽川店（らーめんや いちばんてい）,栃木県小山市羽川545-2 ,-,不明の為情報お待ちしております
一鮨,栃木県下野市小金井50-12 ,-,0285-44-0534
喜楽,栃木県小山市暁1-8-13 ,-,-
いちご一会（イチゴイチエ）,栃木県小山市大川島408 ,-,0285-38-2818
ポモドーロ,栃木県小山市駅南町5-13-21 ,-,0285-27-3773
やよい軒 小山東城南店,栃木県小山市東城南1-1-35 ,-,-
井岡屋 思川店,栃木県小山市立木144-1 ,-,-
街のフレンチ洋食レストラン ふじゅう,栃木県下野市柴1432-116 ,-,0285-44-0743
安田製麺所（お食事処 安田）,栃木県小山市城山町2-11-12 ,-,0285-22-0262
マクドナルド 50号小山店,栃木県小山市西城南3-1-1 ,-,0285-28-3561
中西珈琲,栃木県下都賀郡野木町丸林675-5 ,-,不明の為情報お待ちしております
ヨコクラストアハウス（YOKOKURA STOREHOUSE）,栃木県小山市横倉596-76 ,-,-
ぱん工房 ぷるみえ,栃木県小山市西城南1-4-27 ,-,0285-28-7445
ココス 小山駅東店,栃木県小山市駅東通り2-11-12 ,-,0285-30-2112
パティスリー・ローレライ,栃木県小山市八幡町2-2-1 ,-,0285-25-3904
デニーズ 小山駅南町店（Denny's）,栃木県小山市駅南町4-31-8 ,-,不明の為情報お待ちしております
らーめんはるか86,栃木県小山市横倉585-14 ,-,-
小山魚介センター 勝丸水産,栃木県小山市城山町3-2-17 ,-,0285-37-9737
蕎麦蔵 きたみ,栃木県小山市西城南4-3-1 ピーチプラザ 1F,-,0285-28-7110
みそ家米ぞう（みそやこめぞう）,栃木県小山市東城南1-28-11 ,-,-
レストラン 倉井（レストラン クライ）,栃木県下野市小金井2438 ,-,-
豪快桶そば　大栗屋（おぐりや）,栃木県小山市犬塚2-5-13 ,-,-
Asian Dining&Bar MAMA CURRY（アジアン ダイニング&バー ママ カレー）,栃木県小山市乙女3-30-21 ,-,0285-37-6937
弥惣吉（ヤソキチ）,栃木県下野市薬師寺3384-1 ,-,-
ステーキまつだ,栃木県小山市羽川290-32 ,-,0285-25-2929
アリガトウ（Arigatou）,栃木県小山市駅東通り3-34-22 ,-,080-5096-9039
モンプチクール（Mon Petit Coeur）,栃木県小山市西城南6-13-30 ,-,0285-27-8189
新八（シンパチ）,栃木県小山市宮本町3-6-24 ,-,0285-23-5527
'O Girasole（オ・ジラソーレ）,栃木県小山市雨ヶ谷新田51-9 ,-,0285-37-8498
ル・クプル （Le Couple）,栃木県小山市東城南1-17-17 ,-,0285-27-7789
魚めし屋（ウオメシヤ）,栃木県小山市西城南5-48 ,-,-
蕎麦処 まるとく,栃木県小山市城北3-4-16 東栄ビル 1F,-,0285-42-8558
ラーメンショップ 間々田店,栃木県小山市乙女2-5 ,-,-
藤ヱ門 本店（ふじえもん）,栃木県小山市城北6-1-4 ,-,0285-25-0311
定番中華と石焼ビビンバ かえで,栃木県下野市柴252-4 ,-,0285-37-9402
スターバックスコーヒー ヴァル小山店（STARBUCKS COFFEE）,栃木県小山市城山町3-3-22 VAL 小山駅ビル 3F,-,0285-20-5201
ホワイト餃子小山店,栃木県小山市大字土塔222-60 ,-,0285-37-7656
コイキヤホンポ,栃木県小山市神鳥谷2258-53 ,-,-
焼肉うしやのせがれ,栃木県小山市立木593-2 ,-,0285-35-6627
DO MY THING AMAZING DONUT（ドゥ マイ シング アメイジング ドーナツ）,栃木県小山市中央町3-7-1 ,-,050-8883-8430
ドライブイン 扶桑（フソウ）,栃木県小山市大字飯塚1828 ,-,-
ROCKS（ロックス）,栃木県小山市中央町3-5-6 ,-,0285-22-5339
こっこのすけ,栃木県下野市薬師寺3171-24 ,-,0285-40-6090
大栗屋,栃木県下野市小金井6-8 ,-,0285-44-0053
くるまやラーメン 小山城東店,栃木県小山市城東5-26-1 ,-,0285-22-2101
日の本家,栃木県小山市大字上生井618 ,-,-
いちごの里のクレープ屋さん,栃木県小山市大川島408 ,-,-
バーカロ・カヴァタッピ（BACARO CAVATAPPI）,栃木県下野市緑5-20-12 ,-,0285-37-7412
中華料理 栄華楼,栃木県下野市緑3-20-5 ,-,0285-44-3558
手打ちそば 満留賀（てうちそば まるか）,栃木県小山市本郷町2-9-15 ,-,0285-22-2371
ラチェネッタ（La Cenetta）,栃木県下野市緑2-22-2 ,-,0285-44-8898
タリーズコーヒー 自治医大駅前店（TULLY'S COFFEE）,栃木県下野市医大前3-1-1 TSUTAYA自治医大 1F,-,0285-40-1053
コロッケのころっ家 道の駅しもつけ店,栃木県下野市薬師寺3720-1 道の駅しもつけ,-,-
まつせい,栃木県小山市本郷町3 -3 -15 ,-,0285-25-0298
すし晴,栃木県小山市天神町1-4-25 ,-,0285-23-6808
ラーメンショップ 犬塚本店,栃木県小山市犬塚8-5-16 ,-,-
エンジェル,栃木県小山市城東6-7-21 ,-,0285-23-0115
仙台牛たん けやき 小山店（欅）,栃木県小山市東城南1-1-32 ,-,-
まるぶん 自治医大前店（もつ煮本舗）,栃木県下野市医大前1-8-2 ,-,0285-40-7633
松屋 小山店,栃木県小山市駅南町6-28-22 ,-,-
パミールマート（Pameer Mart）,栃木県小山市粟宮1-13-45 ,-,028-522-4677
