店名,住所,電話番号,予約・お問い合わせ
Excellent Gunma Food さんず,群馬県高崎市通町48 武藤ビル 2F,027-388-8261,050-5590-4433
地鶏と網焼き 個室居酒屋 鶏匠 高崎店,群馬県高崎市通町43-1 ウィズスクエア 3F,080-3347-6935,050-5596-4920
MEAT LABO ENISHI 高崎駅前店（【旧店名】和風情緒×個室居酒屋 縁）,群馬県高崎市八島町32-7 三笠第三ビル 4F,027-384-4096,050-5593-9679
和食郷土料理 個室居酒屋 高崎屋 高崎本店（【旧店名】創作和食 個室居酒屋 楓葉の響）,群馬県高崎市八島町32-7 三笠第三ビル 4F,027-327-7622,050-5593-9680
中村麺兵衛 高崎店,群馬県高崎市下小鳥町418-1 ,027-395-5095,-
大衆とり酒場 とりいちず 高崎東口店,群馬県高崎市栄町4-10 三笠第一ビル 1F,-,未開通
やきとり 笑多（ショウタ）,群馬県高崎市片岡町3-4-5 ,027-381-5621,050-5456-5184
しゃぶしゃぶすき焼どん亭 高崎店（どんてい）,群馬県高崎市緑町1-1-1 ,-,050-1809-4054
くいもの屋わん 高崎店,群馬県高崎市八島町110-6 ＴＯ－ＭＯＲＥビル　４Ｆ,-,027-330-6660
炭火焼肉・ほるもん こち家,群馬県高崎市連雀町4 馬場店舗ビル 2F,027-388-8525,050-5457-0213
地鶏 土鍋ご飯 あし火 高崎本店,群馬県高崎市八島町110-6 2F,027-388-0116,050-5600-1090
BonCourage（ボンクラージュ）,群馬県高崎市栄町27-2 ,027-321-8108,050-5456-0683
黒毛和牛＆極上牛タン＆焼肉バル THE BLACK BULL CLUB 高崎店（ザブラックブルクラブ）,群馬県高崎市新田町5-8 ジェイズビル 101 ,027-329-5523,050-5890-5176
ブラッスリーローリエ（Laurier）,群馬県高崎市八島町222 ホテルメトロポリタン高崎　６Ｆ,027-325-3461,050-5590-7569
肉割烹 蕾（ニクカッポウ ツボミ ～hanatale～）,群馬県高崎市連雀町30-1 ,027-393-6687,050-5456-6813
豊丸水産 高崎駅西口店,群馬県高崎市八島町223 高崎駅構,027-320-7277,050-5600-3462
旬の食と地酒 蔵や 高崎駅前店,群馬県高崎市八島町110-6 TO-MOREビル 5F,027-395-0341,050-5595-1342
庄や 高崎西口店,群馬県高崎市八島町117-8 第一明構ビル 1F・2F,027-328-8833,050-5592-8700
高崎個室居酒屋 居酒肴 じゅうにつき,群馬県高崎市通町93-23 ,027-386-4583,050-5592-1783
浜焼き海鮮居酒屋 大庄水産 高崎西口店,群馬県高崎市八島町17-8 石井ビル 1F,027-323-8011,050-5592-8702
洋食キッチン シャトー,群馬県高崎市栄町1-1 LABI1 LIFE SELECT高崎 5F,027-345-8766,050-5593-6730
炭火焼ホルモン Fuu（フゥ）,群馬県高崎市通町48 武藤ビル 1F,027-388-8324,050-5590-4434
鉄板酒場エイト,群馬県高崎市田町147-2 1F,027-335-6175,050-5456-6060
肉豆冨とレモンサワー 大衆食堂 安べゑ 高崎駅東口店,群馬県高崎市栄町14-4 ラ・シーム高崎ビル 1F,027-310-5580,050-5589-5204
焼肉 うしいち,群馬県高崎市寄合町25-1 AKATSUKI.BLD 0II 1F,080-8131-7007,050-5595-1336
ステーキのどん 高崎北店,群馬県高崎市緑町2-1-1 ,027-362-9933,050-5589-9288
牛タン うま囲 高崎駅前店,群馬県高崎市栄町14-1 高崎イーストセンタービル 2F,027-381-8474,050-5596-2061
肉とワインのイタリアン酒場more 高崎店（モア）,群馬県高崎市連雀町137 ,027-386-3040,050-5456-0680
上海華龍 ヤマダ電機LABI１高崎店,群馬県高崎市栄町1-1 LABI1高崎 5F,027-386-3388,050-5869-2094
肉 地酒 個室居酒屋 結 高崎駅前店,群馬県高崎市八島町110-6 TO-MOREビル 4F,027-388-8596,050-5593-8040
炉端とおでん 呼炉凪来 高崎店,群馬県高崎市八島町32-7 三笠第2ビル 5F,027-386-9124,050-5594-8188
葵屋 高崎西口店（AOIYA）,群馬県高崎市八島町110-6 TOMOREビル 3F,027-395-8660,050-5595-6005
海鮮茶屋 一鮮（いっせん）,群馬県高崎市栄町1-1 LABI1高崎 5F,027-386-6164,050-5595-3724
炭火焼き うし,群馬県高崎市砂賀町32-3 サニービル,027-395-0231,050-5595-7529
日本の酒と馬の肉 ウマ○ 高崎駅前店,群馬県高崎市八島町117-3 萬年屋ビル 4F,027-329-6365,050-5571-9891
焼肉 炎亭,群馬県高崎市剣崎町1043-3 ,027-381-6929,050-5456-6391
