店名,住所,電話番号,予約・お問い合わせ
東京バルGardenTerrace（ガーデンテラス）,茨城県つくば市春日1-2 ,029-846-0299,050-5593-6209
焼肉×スンドゥブ×韓国料理 チェゴ つくばみどりの店,茨城県つくば市みどりの2-52-16 ,029-838-1127,-
魚とナポリピザ BISTRO HAMA TIME（ビストロ ハマ タイム）,茨城県つくば市研究学園5-1-7 ,029-875-5712,050-5600-6940
さかなや道場 三代目網元 研究学園店,茨城県つくば市研究学園5-13-11 MYU・MY 1F,0298-61-8620,050-5600-3461
プラネタリウム焼肉 72＆BarB（セブンツー&バービー）,茨城県つくば市吉瀬1734-1 ,029-875-8010,050-5456-6974
つくば 山水亭 本店（さんすいてい）,茨城県つくば市小野崎254 ,029-855-8181,050-5589-7173
茨城地産地消の店 あんこう鍋×常陸牛 全席個室 もんどころ つくばデイズタウン,茨城県つくば市竹園1-9-2 デイズタウン 1F,029-858-3228,050-5595-2610
しゃぶしゃぶすき焼どん亭 つくば研究学園店,茨城県つくば市研究学園4-2-10 ,-,050-1809-4101
そらいろLOUNGE,茨城県つくば市東新井19-6 アシタエラボ,029-896-9655,050-5593-2929
四十八漁場 つくば店,茨城県つくば市吾妻1-5-3 トナリエつくばスクエアMOG 3F,029-869-7841,050-5596-2043
居酒屋Dinning YAPPA（居酒屋ダイニング ヤッパ）,茨城県つくば市二の宮2-14-20 1F,029-893-2868,050-5594-8165
串家物語 イオンモールつくば店（クシヤモノガタリ）,茨城県つくば市稲岡66-1 イオンモールつくば 1F,029-836-1987,050-5600-7044
鹿児島県霧島市 塚田農場 つくば店,茨城県つくば市吾妻1-5-3 トナリエつくばスクエアMOG 3F,029-850-5388,050-5600-0928
北海道魚鮮水産 BiViつくば店,茨城県つくば市吾妻1-8-10 BiViつくば店 3F,029-828-5177,050-5600-3460
東京バル TAKEO（トウキョウバル タケオ）,茨城県つくば市研究学園5-15-7 ,029-895-3815,050-5593-6072
yorimici-ベーカリー（よりみちベーカリー）,茨城県つくば市さくらの森10-8 ,070-4088-8783,-
串かつ でんがな Biviつくば店,茨城県つくば市吾妻1-8-10 BiViつくば　3Ｆ,029-861-1355,050-5589-6433
しゃぶしゃぶ温野菜 つくば松代店,茨城県つくば市松代1-7-9 ,029-875-3329,050-5596-1041
牛角 つくばテクノパーク桜店（ギュウカク）,茨城県つくば市柴崎16-4 ,029-863-5529,050-5594-6971
串カツ田中 つくば研究学園店,茨城県つくば市研究学園5-5-1 ,029-886-7168,050-5596-4732
牛角 筑波学園北店,茨城県つくば市大曽根3838-4 ,029-869-8529,050-5594-6979
GREENROOM つくばデイズタウン店（グリーンルーム）,茨城県つくば市竹園1-9-2 デイズタウン 1F,029-896-8310,050-5456-5569
よりみちバル 和伊和伊 吾妻店,茨城県つくば市吾妻3-12-1 アクロス1号館 2F,029-875-3996,050-5456-5252
88の翼,茨城県つくば市上横場1886-1 ,029-811-8840,050-5594-8166
Ristorante TSUMU（リストランテ ツム）,茨城県つくば市竹園2-20-3 つくば国際会議場 1F,029-875-7070,050-5592-7360
東池袋大勝軒 うさぎ家（【旧店名】 大勝軒 つくば店）,茨城県つくば市上横場2200-1 ,029-879-5584,-
Pizzeria Baffetto つくばデイズタウン店,茨城県つくば市竹園1-9-2 デイズタウン 1F,0298-46-3218,050-5456-5572
イタリアンダイニング エレガンス,茨城県つくば市二の宮3-15-28 ,029-859-0883,050-5872-2722
