店名,住所,電話番号,予約・お問い合わせ
アンジェロコート東京 宇都宮,栃木県宇都宮市宮みらい1-1 ウツノミヤテラス 5F,028-614-4122,050-5595-1325
九州酒場 馬かもん,栃木県宇都宮市東宿郷2-10-8 2F,028-612-8211,050-5595-4649
銀座 あまくさ 宇都宮店,栃木県宇都宮市東宿郷2-14-4 フォーチュナインホテル 2F,028-614-3909,050-5456-1875
Cafe& Restaurant OASIS（カフェレストラン オアシス）,栃木県宇都宮市本町5-12 宇都宮東武ホテルグランデ 1F,028-643-2140,050-5595-4644
七輪焼肉 安安 宇都宮石井店,栃木県宇都宮市石井町2793-1 ,028-612-8729,050-5872-9897
ホルモン酒場 永,栃木県宇都宮市馬場通り2-3-9 ,028-688-8884,050-5594-8182
寧々家 宇都宮駅前店（ネネヤ）,栃木県宇都宮市駅前通り3-1-8 藤江ビル 1F,-,028-639-0044
365 ギョーザ バー 東口店（365 GYOZA BAR）,栃木県宇都宮市東宿郷2-5-26 ,028-678-2040,050-5869-4655
七輪焼肉 安安 宇都宮バンバ通り店,栃木県宇都宮市馬場通り3-1-17 ,028-666-7720,050-5593-4100
日本料理簾,栃木県宇都宮市本町5-12 宇都宮東武ホテルグランデ 2F,028-643-2178,050-5595-4645
個室ダイニング 楽蔵 宇都宮池上店（RAKUZO）,栃木県宇都宮市池上町3-11 ,-,050-2018-8936
酒菜の隠れ家 月あかり 宇都宮東口店,栃木県宇都宮市東宿郷1丁目5-19 テラビル 1F,028-610-1888,050-5593-5654
つむぎ庵（つむぎあん【旧店名】彩食倶楽部 つむぎ）,栃木県宇都宮市花房2-3-10 ,028-633-3321,050-5594-9608
串とメシにはサケキタル 宇都宮店,栃木県宇都宮市江野町7-14 東谷ビル 2F,028-678-2447,050-5596-2047
七輪焼肉 安安 宇都宮店,栃木県宇都宮市江曽島町1441-3 ,028-659-8181,050-5600-3618
スミビトケムリ 宇都宮店,栃木県宇都宮市江野町8-12 とらや第二ビル 1F,028-678-8285,050-5596-2046
とんぼ,栃木県宇都宮市中央5-1-18 ,028-612-3339,050-5595-7596
